    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  24.5942    7.5905  339.3750   22.5000  -33.7500   22.5000  -10.9836
  24.5942    7.5905  283.1250   45.0000  -56.2500   22.5000  -10.7462
  24.5942    7.5905  328.1250   45.0000  -56.2500   22.5000  -10.8303
  24.5942    7.5905  305.6250   90.0000  -78.7500   22.5000  -10.6969
  24.5942    7.5905  294.3750   22.5000   11.2500   22.5000  -10.9286
  24.5942    7.5905  271.8750   22.5000   11.2500   22.5000  -10.7992
  24.5942    7.5905  294.3750   22.5000   33.7500   22.5000  -10.8853
  24.5942    7.5905  271.8750   22.5000   33.7500   22.5000  -10.7886
  24.5942    7.5905  316.8750   22.5000   11.2500   22.5000  -11.0307
  24.5942    7.5905  339.3750   22.5000   11.2500   22.5000  -11.0953
  24.5942    7.5905  316.8750   22.5000   33.7500   22.5000  -10.9765
  24.5942    7.5905  339.3750   22.5000   33.7500   22.5000  -11.0374
  24.5942    7.5905  283.1250   45.0000   56.2500   22.5000  -10.7897
  24.5942    7.5905  328.1250   45.0000   56.2500   22.5000  -10.8894
  24.5942    7.5905  305.6250   90.0000   78.7500   22.5000  -10.7603
  33.3877   10.4940  115.1250   22.5000  -11.2500   22.5000  -10.8864
  33.3877   10.4940   92.6250   22.5000  -11.2500   22.5000  -11.0716
  33.3877   10.4940  115.1250   22.5000  -33.7500   22.5000  -10.9097
  33.3877   10.4940   92.6250   22.5000  -33.7500   22.5000  -11.0564
  33.3877   10.4940  137.6250   22.5000  -11.2500   22.5000  -10.7530
  33.3877   10.4940  160.1250   22.5000  -11.2500   22.5000  -10.6769
  33.3877   10.4940  137.6250   22.5000  -33.7500   22.5000  -10.7931
  33.3877   10.4940  160.1250   22.5000  -33.7500   22.5000  -10.7224
  33.3877   10.4940  103.8750   45.0000  -56.2500   22.5000  -11.0119
  33.3877   10.4940  148.8750   45.0000  -56.2500   22.5000  -10.8684
  33.3877   10.4940  126.3750   90.0000  -78.7500   22.5000  -11.0772
  33.3877   10.4940  115.1250   22.5000   11.2500   22.5000  -10.8937
  33.3877   10.4940   92.6250   22.5000   11.2500   22.5000  -11.0605
  33.3877   10.4940  115.1250   22.5000   33.7500   22.5000  -10.9348
  33.3877   10.4940   92.6250   22.5000   33.7500   22.5000  -11.0915
  33.3877   10.4940  137.6250   22.5000   11.2500   22.5000  -10.7719
  33.3877   10.4940  160.1250   22.5000   11.2500   22.5000  -10.6874
  33.3877   10.4940  137.6250   22.5000   33.7500   22.5000  -10.8119
  33.3877   10.4940  160.1250   22.5000   33.7500   22.5000  -10.7417
  33.3877   10.4940  103.8750   45.0000   56.2500   22.5000  -11.0516
  33.3877   10.4940  148.8750   45.0000   56.2500   22.5000  -10.8641
  33.3877   10.4940  126.3750   90.0000   78.7500   22.5000  -11.0766
  33.3877   10.4940  227.6250   22.5000  -11.2500   22.5000  -10.8367
  33.3877   10.4940  250.1250   22.5000  -11.2500   22.5000  -11.0058
  33.3877   10.4940  227.6250   22.5000  -33.7500   22.5000  -10.8633
  33.3877   10.4940  250.1250   22.5000  -33.7500   22.5000  -11.0099
  33.3877   10.4940  205.1250   22.5000  -11.2500   22.5000  -10.7078
  33.3877   10.4940  182.6250   22.5000  -11.2500   22.5000  -10.6546
  33.3877   10.4940  205.1250   22.5000  -33.7500   22.5000  -10.7641
  33.3877   10.4940  182.6250   22.5000  -33.7500   22.5000  -10.7016
  33.3877   10.4940  238.8750   45.0000  -56.2500   22.5000  -10.9713
  33.3877   10.4940  193.8750   45.0000  -56.2500   22.5000  -10.8477
  33.3877   10.4940  216.3750   90.0000  -78.7500   22.5000  -11.0518
  33.3877   10.4940  227.6250   22.5000   11.2500   22.5000  -10.8511
  33.3877   10.4940  250.1250   22.5000   11.2500   22.5000  -11.0169
  33.3877   10.4940  227.6250   22.5000   33.7500   22.5000  -10.8641
  33.3877   10.4940  250.1250   22.5000   33.7500   22.5000  -11.0139
